Age,Channel,Band,AbsMean_log10,AbsSD_log10,RelMean,RelSD
5,O2,Alpha,1.023362,0.055846,-0.569454,0.504500
5,O2,Beta,0.756472,0.030910,-3.559173,0.259972
5,O2,Total,1.123053,0.033226,NaN,NaN
6,Fp1,Delta,0.938093,0.047573,0.007283,0.418236
6,Fp1,Theta,0.899747,0.040689,-0.760862,0.381509
6,Fp1,Alpha,0.823458,0.035990,-1.820118,0.377537
6,Fp1,Beta,0.699227,0.028100,-3.059734,0.278248
6,Fp1,Total,1.016390,0.029049,NaN,NaN
6,Fp2,Delta,0.948481,0.050615,0.055597,0.411125
6,Fp2,Theta,0.898199,0.041985,-0.836859,0.388465
6,Fp2,Alpha,0.823234,0.035823,-1.873566,0.347050
6,Fp2,Beta,0.703474,0.035195,-3.070885,0.280034
6,Fp2,Total,1.020713,0.033578,NaN,NaN
6,F7,Delta,0.935161,0.033465,-0.362136,0.322273
6,F7,Theta,0.933081,0.041793,-0.517231,0.364326
6,F7,Alpha,0.861760,0.036764,-1.540342,0.345881
6,F7,Beta,0.710109,0.030807,-3.068121,0.183105
6,F7,Total,1.034201,0.021065,NaN,NaN
6,F3,Delta,0.934617,0.033550,-0.373159,0.302963
6,F3,Theta,0.937703,0.041450,-0.486199,0.342953
6,F3,Alpha,0.867420,0.035978,-1.505068,0.317143
6,F3,Beta,0.715620,0.031449,-3.061814,0.182448
6,F3,Total,1.036327,0.022339,NaN,NaN
6,Fz,Delta,0.924102,0.029576,-0.776485,0.238041
6,Fz,Theta,0.955070,0.038094,-0.452027,0.328265
6,Fz,Alpha,0.919914,0.043473,-1.013077,0.351953
6,Fz,Beta,0.717498,0.035057,-3.242698,0.174016
6,Fz,Total,1.051570,0.022389,NaN,NaN
6,F4,Delta,0.931588,0.029204,-0.783958,0.265121
6,F4,Theta,0.963606,0.037338,-0.419997,0.330358
6,F4,Alpha,0.924966,0.039600,-1.044404,0.361843
6,F4,Beta,0.721940,0.030713,-3.244963,0.149998
6,F4,Total,1.057596,0.016933,NaN,NaN
6,F8,Delta,0.926947,0.039626,-1.095585,0.236698
6,F8,Theta,0.969978,0.051168,-0.529287,0.436379
6,F8,Alpha,0.963555,0.051505,-0.681285,0.443165
6,F8,Beta,0.725767,0.035888,-3.342340,0.287749
6,F8,Total,1.071909,0.034274,NaN,NaN
6,T7,Delta,0.936329,0.040483,-1.165929,0.344963
6,T7,Theta,0.980097,0.049926,-0.562469,0.420619
6,T7,Alpha,0.983276,0.057459,-0.627375,0.479563
6,T7,Beta,0.742055,0.038404,-3.332244,0.301626
6,T7,Total,1.083121,0.038821,NaN,NaN
6,C3,Delta,0.951664,0.050109,-1.342934,0.434125
6,C3,Theta,0.981033,0.059788,-0.919846,0.535789
6,C3,Alpha,1.029850,0.067296,-0.243174,0.548420
6,C3,Beta,0.767265,0.045839,-3.387445,0.390723
6,C3,Total,1.109643,0.047171,NaN,NaN
6,Cz,Delta,0.942212,0.055309,-1.290030,0.377184
6,Cz,Theta,0.965967,0.061566,-0.843629,0.481749
6,Cz,Alpha,1.008184,0.065855,-0.376975,0.468624
6,Cz,Beta,0.752296,0.048448,-3.347525,0.375369
6,Cz,Total,1.087970,0.049101,NaN,NaN
6,C4,Delta,0.873261,0.042954,-0.251847,0.315170
6,C4,Theta,0.854094,0.048158,-0.668759,0.339488
6,C4,Alpha,0.788491,0.049465,-1.591139,0.408276
6,C4,Beta,0.660597,0.044172,-2.886757,0.248603
6,C4,Total,0.964360,0.036978,NaN,NaN
6,T8,Delta,0.881925,0.041492,-0.244579,0.349420
6,T8,Theta,0.857802,0.036091,-0.738512,0.300251
6,T8,Alpha,0.800467,0.040846,-1.523076,0.393367
6,T8,Beta,0.681068,0.032677,-2.870924,0.170013
6,T8,Total,0.971905,0.026897,NaN,NaN
6,P7,Delta,0.862473,0.032660,-0.666808,0.296861
6,P7,Theta,0.882675,0.046321,-0.546620,0.357177
6,P7,Alpha,0.844733,0.051862,-1.097678,0.436772
6,P7,Beta,0.681588,0.045754,-2.844636,0.406133
6,P7,Total,0.985762,0.032145,NaN,NaN
6,P3,Delta,0.871910,0.032734,-0.699142,0.280850
6,P3,Theta,0.888544,0.045752,-0.559944,0.327406
6,P3,Alpha,0.855471,0.048263,-1.089299,0.380402
6,P3,Beta,0.692638,0.041582,-2.821683,0.316913
6,P3,Total,0.991423,0.030982,NaN,NaN
6,Pz,Delta,0.902598,0.054746,-0.875892,0.388607
6,Pz,Theta,0.925555,0.063151,-0.692959,0.439783
6,Pz,Alpha,0.918022,0.069648,-0.771404,0.567307
6,Pz,Beta,0.705139,0.046920,-3.113554,0.432132
6,Pz,Total,1.038282,0.052118,NaN,NaN
6,P4,Delta,0.905411,0.049167,-0.980475,0.345305
6,P4,Theta,0.926820,0.059971,-0.702567,0.441141
6,P4,Alpha,0.930672,0.068796,-0.719636,0.514210
6,P4,Beta,0.719734,0.048581,-3.117359,0.339212
6,P4,Total,1.039104,0.050439,NaN,NaN
6,P8,Delta,0.931434,0.032277,-0.456288,0.303378
6,P8,Theta,0.943710,0.048727,-0.401880,0.368041
6,P8,Alpha,0.870296,0.036815,-1.470419,0.336405
6,P8,Beta,0.714990,0.035769,-3.126022,0.156079
6,P8,Total,1.036439,0.026460,NaN,NaN
6,O1,Delta,0.948530,0.029326,-0.688739,0.283378
6,O1,Theta,0.984112,0.039249,-0.349139,0.305614
6,O1,Alpha,0.932526,0.039501,-1.126668,0.332744
6,O1,Beta,0.731648,0.029043,-3.364237,0.122722
6,O1,Total,1.073646,0.020089,NaN,NaN
6,O2,Delta,0.956085,0.039115,-1.168528,0.319219
6,O2,Theta,1.004087,0.052279,-0.586928,0.482921
6,O2,Alpha,1.011236,0.055846,-0.515814,0.524801
6,O2,Beta,0.753478,0.033703,-3.476499,0.283841
6,O2,Total,1.110267,0.036425,NaN,NaN
7,Fp1,Delta,0.924339,0.048682,-0.091069,0.418236
7,Fp1,Theta,0.878599,0.043685,-0.850424,0.378517
7,Fp1,Alpha,0.818254,0.035990,-1.670427,0.418716
7,Fp1,Beta,0.691395,0.033053,-2.970012,0.306748
7,Fp1,Total,1.001164,0.034322,NaN,NaN
7,Fp2,Delta,0.930986,0.051308,-0.048030,0.411125
7,Fp2,Theta,0.880149,0.044843,-0.886901,0.386702
7,Fp2,Alpha,0.818272,0.035823,-1.717323,0.395962
7,Fp2,Beta,0.695465,0.038144,-2.983073,0.307298
7,Fp2,Total,1.005305,0.037630,NaN,NaN
7,F7,Delta,0.917527,0.034395,-0.452477,0.322273
7,F7,Theta,0.910347,0.043962,-0.595655,0.366667
7,F7,Alpha,0.850362,0.036764,-1.406747,0.392509
7,F7,Beta,0.705761,0.035128,-2.972595,0.231753
7,F7,Total,1.015423,0.027756,NaN,NaN
7,F3,Delta,0.920028,0.034475,-0.461909,0.302963
7,F3,Theta,0.914738,0.043820,-0.577345,0.350907
7,F3,Alpha,0.855394,0.035978,-1.392968,0.369115
7,F3,Beta,0.709164,0.035700,-2.969023,0.236311
7,F3,Total,1.018550,0.028415,NaN,NaN
7,Fz,Delta,0.908412,0.031363,-0.833589,0.238041
7,Fz,Theta,0.930293,0.040877,-0.560244,0.335247
7,Fz,Alpha,0.904820,0.043473,-0.914932,0.394729
7,Fz,Beta,0.712636,0.038925,-3.127044,0.230608
7,Fz,Total,1.032951,0.029074,NaN,NaN
7,F4,Delta,0.914178,0.031190,-0.842716,0.265121
7,F4,Theta,0.937474,0.040952,-0.538954,0.342226
7,F4,Alpha,0.910124,0.039600,-0.934256,0.406943
7,F4,Beta,0.716603,0.036342,-3.130795,0.219599
7,F4,Total,1.038453,0.026401,NaN,NaN
7,F8,Delta,0.909612,0.040410,-1.147610,0.236698
7,F8,Theta,0.942974,0.053112,-0.663861,0.439525
7,F8,Alpha,0.949353,0.051505,-0.568571,0.480526
7,F8,Beta,0.722238,0.040461,-3.219098,0.322401
7,F8,Total,1.052920,0.039888,NaN,NaN
7,T7,Delta,0.919192,0.041466,-1.210655,0.344963
7,T7,Theta,0.952025,0.052075,-0.728689,0.428802
7,T7,Alpha,0.969538,0.057459,-0.484895,0.514696
7,T7,Beta,0.737782,0.042347,-3.215574,0.335864
7,T7,Total,1.065937,0.043566,NaN,NaN
7,C3,Delta,0.935777,0.050877,-1.408510,0.434125
7,C3,Theta,0.951496,0.061379,-1.101390,0.538792
7,C3,Alpha,1.018959,0.067296,-0.093544,0.586168
7,C3,Beta,0.759960,0.049101,-3.278591,0.421172
7,C3,Total,1.093057,0.052998,NaN,NaN
7,Cz,Delta,0.930209,0.055615,-1.369043,0.377184
7,Cz,Theta,0.943637,0.063175,-1.052588,0.492536
7,Cz,Alpha,1.006928,0.065855,-0.173580,0.519854
7,Cz,Beta,0.752250,0.051206,-3.250544,0.405988
7,Cz,Total,1.081069,0.054485,NaN,NaN
7,C4,Delta,0.856018,0.043476,-0.345640,0.315170
7,C4,Theta,0.831152,0.049909,-0.745032,0.341846
7,C4,Alpha,0.777087,0.049465,-1.450480,0.433801
7,C4,Beta,0.654617,0.045712,-2.799865,0.276800
7,C4,Total,0.945746,0.040118,NaN,NaN
7,T8,Delta,0.862012,0.042115,-0.339660,0.349420
7,T8,Theta,0.833506,0.040338,-0.807963,0.308352
7,T8,Alpha,0.789310,0.040846,-1.394637,0.420176
7,T8,Beta,0.667589,0.037106,-2.783507,0.228942
7,T8,Total,0.952233,0.032337,NaN,NaN
7,P7,Delta,0.849003,0.034574,-0.743958,0.296861
7,P7,Theta,0.857900,0.048272,-0.635523,0.358292
7,P7,Alpha,0.827925,0.051862,-1.022069,0.455511
7,P7,Beta,0.674511,0.047672,-2.737693,0.428050
7,P7,Total,0.965503,0.036097,NaN,NaN
7,P3,Delta,0.855896,0.034874,-0.769850,0.280850
7,P3,Theta,0.863371,0.048611,-0.659101,0.332159
7,P3,Alpha,0.839619,0.048263,-0.991404,0.409833
7,P3,Beta,0.684224,0.044408,-2.722101,0.347331
7,P3,Total,0.971949,0.036284,NaN,NaN
7,Pz,Delta,0.886793,0.053451,-0.951167,0.388607
7,Pz,Theta,0.893879,0.063392,-0.819152,0.440832
7,Pz,Alpha,0.899334,0.069648,-0.674221,0.581129
7,Pz,Beta,0.698309,0.048445,-2.998470,0.447403
7,Pz,Total,1.014135,0.053910,NaN,NaN
7,P4,Delta,0.891235,0.049302,-1.059383,0.345305
7,P4,Theta,0.900486,0.061833,-0.851440,0.446298
7,P4,Alpha,0.920051,0.068796,-0.576801,0.545519
7,P4,Beta,0.712559,0.050482,-3.019010,0.372237
7,P4,Total,1.022843,0.053973,NaN,NaN
7,P8,Delta,0.920411,0.033450,-0.529871,0.303378
7,P8,Theta,0.925738,0.050140,-0.495683,0.375904
7,P8,Alpha,0.865465,0.036815,-1.374089,0.385315
7,P8,Beta,0.712748,0.038985,-3.036626,0.215281
7,P8,Total,1.024449,0.031218,NaN,NaN
7,O1,Delta,0.934231,0.030528,-0.739399,0.283378
7,O1,Theta,0.960672,0.041471,-0.454001,0.317494
7,O1,Alpha,0.917941,0.039501,-1.065379,0.381800
7,O1,Beta,0.725954,0.033597,-3.252574,0.192406
7,O1,Total,1.056260,0.026734,NaN,NaN
7,O2,Delta,0.936932,0.039676,-1.202766,0.319219
7,O2,Theta,0.975776,0.053518,-0.715782,0.483868
7,O2,Alpha,0.992649,0.055846,-0.429434,0.553867
7,O2,Beta,0.747797,0.037516,-3.352545,0.316570
7,O2,Total,1.089730,0.040773,NaN,NaN
8,Fp1,Delta,0.913250,0.049387,-0.156341,0.432383
8,Fp1,Theta,0.863528,0.045581,-0.910049,0.376712
8,Fp1,Alpha,0.814573,0.042723,-1.557955,0.444005
8,Fp1,Beta,0.687499,0.035974,-2.910419,0.324551
8,Fp1,Total,0.990187,0.037441,NaN,NaN
8,Fp2,Delta,0.918915,0.051831,-0.116375,0.426633
8,Fp2,Theta,0.866419,0.046660,-0.927743,0.385648
8,Fp2,Alpha,0.814730,0.042141,-1.601934,0.425454
8,Fp2,Beta,0.691143,0.039980,-2.924700,0.324447
8,Fp2,Total,0.994169,0.040117,NaN,NaN
8,F7,Delta,0.903001,0.035112,-0.512800,0.342244
8,F7,Theta,0.892643,0.045357,-0.654753,0.368271
8,F7,Alpha,0.842807,0.043009,-1.310378,0.420717
8,F7,Beta,0.701380,0.037734,-2.909102,0.259574
8,F7,Total,1.001363,0.031459,NaN,NaN
8,F3,Delta,0.906972,0.035137,-0.521464,0.326999
8,F3,Theta,0.897340,0.045336,-0.641676,0.356024
8,F3,Alpha,0.847537,0.042177,-1.305408,0.399966
8,F3,Beta,0.704655,0.038273,-2.907300,0.266556
8,F3,Total,1.005166,0.031852,NaN,NaN
8,Fz,Delta,0.895200,0.032518,-0.872725,0.275269
8,Fz,Theta,0.911610,0.042634,-0.635857,0.339851
8,Fz,Alpha,0.894652,0.048615,-0.845787,0.420927
8,Fz,Beta,0.708000,0.041305,-3.049941,0.261957
8,Fz,Total,1.019018,0.032803,NaN,NaN
8,F4,Delta,0.900510,0.032468,-0.882722,0.299892
8,F4,Theta,0.918084,0.043195,-0.623755,0.349706
8,F4,Alpha,0.900099,0.046043,-0.855002,0.434458
8,F4,Beta,0.712078,0.039660,-3.054744,0.256010
8,F4,Total,1.024557,0.031188,NaN,NaN
8,F8,Delta,0.896089,0.041015,-1.182248,0.290442
8,F8,Theta,0.923050,0.054372,-0.762826,0.441563
8,F8,Alpha,0.939753,0.056636,-0.485466,0.503950
8,F8,Beta,0.719134,0.043241,-3.137017,0.343821
8,F8,Total,1.039644,0.043243,NaN,NaN
8,T7,Delta,0.905989,0.042133,-1.239986,0.376513
8,T7,Theta,0.931422,0.053462,-0.844162,0.433902
8,T7,Alpha,0.959679,0.062060,-0.386385,0.536829
8,T7,Beta,0.734033,0.044787,-3.137790,0.357012
8,T7,Total,1.053462,0.046475,NaN,NaN
8,C3,Delta,0.922697,0.051444,-1.450502,0.471100
8,C3,Theta,0.931177,0.062423,-1.228896,0.540917
8,C3,Alpha,1.011112,0.072242,0.013788,0.610259
8,C3,Beta,0.755838,0.051156,-3.206143,0.440258
8,C3,Total,1.082524,0.056568,NaN,NaN
8,Cz,Delta,0.920331,0.055856,-1.418780,0.421468
8,Cz,Theta,0.927820,0.064232,-1.195324,0.499401
8,Cz,Alpha,1.004655,0.071014,-0.037884,0.551487
8,Cz,Beta,0.752613,0.052967,-3.185904,0.425037
8,Cz,Total,1.076257,0.057818,NaN,NaN
8,C4,Delta,0.841220,0.043973,-0.407699,0.335855
8,C4,Theta,0.813342,0.051040,-0.798974,0.343404
8,C4,Alpha,0.769457,0.052992,-1.350127,0.449920
8,C4,Beta,0.648103,0.046704,-2.742180,0.294156
8,C4,Total,0.931528,0.042082,NaN,NaN
8,T8,Delta,0.847518,0.042702,-0.402816,0.365899
8,T8,Theta,0.816509,0.042947,-0.855396,0.313621
8,T8,Alpha,0.781950,0.045845,-1.300344,0.437130
8,T8,Beta,0.658967,0.039793,-2.725177,0.261538
8,T8,Total,0.938550,0.035533,NaN,NaN
8,P7,Delta,0.834674,0.035848,-0.796024,0.316784
8,P7,Theta,0.838386,0.049529,-0.703870,0.359096
8,P7,Alpha,0.816986,0.054848,-0.960078,0.467593
8,P7,Beta,0.668244,0.048897,-2.666933,0.441541
8,P7,Total,0.950249,0.038512,NaN,NaN
8,P3,Delta,0.840804,0.036370,-0.817133,0.304274
8,P3,Theta,0.844038,0.050437,-0.732463,0.335117
8,P3,Alpha,0.828901,0.052704,-0.917577,0.428284
8,P3,Beta,0.678204,0.046196,-2.656068,0.366204
8,P3,Total,0.957478,0.039451,NaN,NaN
8,Pz,Delta,0.870687,0.052710,-1.000763,0.412115
8,Pz,Theta,0.870259,0.063558,-0.912113,0.441519
8,Pz,Alpha,0.887368,0.071710,-0.592931,0.590222
8,Pz,Beta,0.692291,0.049437,-2.922219,0.457147
8,Pz,Total,0.997014,0.055088,NaN,NaN
8,P4,Delta,0.878105,0.049488,-1.110202,0.383994
8,P4,Theta,0.881202,0.063054,-0.956753,0.449284
8,P4,Alpha,0.912566,0.072405,-0.471090,0.565424
8,P4,Beta,0.707467,0.051715,-2.953611,0.392730
8,P4,Total,1.011158,0.056229,NaN,NaN
8,P8,Delta,0.912023,0.034189,-0.579893,0.324529
8,P8,Theta,0.913393,0.051060,-0.560556,0.380864
8,P8,Alpha,0.862250,0.042541,-1.297857,0.414651
8,P8,Beta,0.712112,0.040990,-2.976984,0.247562
8,P8,Total,1.016319,0.034042,NaN,NaN
8,O1,Delta,0.924451,0.031315,-0.775019,0.309887
8,O1,Theta,0.943625,0.042891,-0.528713,0.325015
8,O1,Alpha,0.908497,0.045092,-1.014751,0.411265
8,O1,Beta,0.721815,0.036326,-3.178035,0.227887
8,O1,Total,1.043940,0.030393,NaN,NaN
8,O2,Delta,0.923762,0.040036,-1.226518,0.359376
8,O2,Theta,0.954922,0.054328,-0.808476,0.484456
8,O2,Alpha,0.980104,0.060199,-0.369198,0.572431
8,O2,Beta,0.742729,0.039864,-3.269940,0.336804
8,O2,Total,1.075038,0.043442,NaN,NaN
9,Fp1,Delta,0.899823,0.050070,-0.221314,0.446539
9,Fp1,Theta,0.847766,0.047406,-0.968211,0.375051
9,Fp1,Alpha,0.810636,0.048544,-1.437977,0.467895
9,Fp1,Beta,0.683861,0.038673,-2.850996,0.341569
9,Fp1,Total,0.978441,0.040330,NaN,NaN
9,Fp2,Delta,0.905031,0.052402,-0.184104,0.442082
9,Fp2,Theta,0.851471,0.048413,-0.972067,0.384686
9,Fp2,Alpha,0.810938,0.047634,-1.479292,0.453026
9,Fp2,Beta,0.686858,0.041729,-2.866457,0.340912
9,Fp2,Total,0.982189,0.042469,NaN,NaN
9,F7,Delta,0.886062,0.035900,-0.573153,0.362224
9,F7,Theta,0.873519,0.046715,-0.716839,0.369901
9,F7,Alpha,0.835416,0.048468,-1.209167,0.447137
9,F7,Beta,0.695501,0.040169,-2.845755,0.284984
9,F7,Total,0.986357,0.034789,NaN,NaN
9,F3,Delta,0.891035,0.035833,-0.581244,0.350148
9,F3,Theta,0.878511,0.046806,-0.707492,0.360994
9,F3,Alpha,0.839901,0.047592,-1.209452,0.428555
9,F3,Beta,0.699248,0.040683,-2.845677,0.293929
9,F3,Total,0.990673,0.034971,NaN,NaN
9,Fz,Delta,0.879825,0.033652,-0.912672,0.308879
9,Fz,Theta,0.891615,0.044323,-0.713122,0.344412
9,Fz,Alpha,0.884549,0.053288,-0.774204,0.445654
9,Fz,Beta,0.702065,0.043557,-2.972832,0.290173
9,Fz,Total,1.004152,0.036163,NaN,NaN
9,F4,Delta,0.884836,0.033719,-0.923362,0.331703
9,F4,Theta,0.897401,0.045330,-0.710457,0.356865
9,F4,Alpha,0.890070,0.051727,-0.773234,0.460365
9,F4,Beta,0.706518,0.042724,-2.978737,0.288079
9,F4,Total,1.009800,0.035356,NaN,NaN
9,F8,Delta,0.880589,0.041685,-1.216836,0.336285
9,F8,Theta,0.901973,0.055605,-0.865559,0.443551
9,F8,Alpha,0.930057,0.061360,-0.399247,0.526372
9,F8,Beta,0.715202,0.045853,-3.054991,0.364176
9,F8,Total,1.025848,0.046367,NaN,NaN
9,T7,Delta,0.890524,0.042813,-1.268968,0.405879
